DIFF,AREA_ID
34.00,8
34.00,8
26.00,6
25.00,8
25.00,8
25.00,8
25.00,8
25.00,8
25.00,8
25.00,8
24.00,8
24.00,8
24.00,8
22.00,8
18.00,8
18.00,7
17.00,6
17.00,8
17.00,8
17.00,4
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,7
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
17.00,8
16.00,6
16.00,8
16.00,8
15.00,8
15.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,6
12.00,8
12.00,8
12.00,8
12.00,8
12.00,4
12.00,6
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
10.00,8
10.00,8
10.00,8
10.00,8
10.00,8
10.00,8
7.00,8
5.00,8
5.00,8
5.00,8
5.00,8
5.00,8
5.00,8
5.00,8
5.00,8
4.00,8
2.00,8
2.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,4
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
0.00,8
0.00,8
0.00,8
0.00,8
0.00,8
0.00,8
-1.00,8
-4.00,8
-12.00,8
-27.00,7
-33.00,2
-42.00,3
-42.00,8
-50.00,12
-50.00,8
-72.00,9
-73.00,5
-90.00,8
-106.00,1
61.00,8
61.00,8
61.00,8
61.00,8
58.00,8
54.00,8
54.00,8
53.00,8
53.00,8
40.00,8
40.00,8
40.00,8
40.00,8
40.00,8
40.00,8
40.00,8
40.00,8
40.00,8
40.00,8
40.00,8
40.00,8
40.00,8
40.00,8
40.00,8
39.00,8
24.00,8
33.00,8
32.00,8
32.00,6
17.00,8
17.00,8
17.00,8
16.00,8
16.00,8
16.00,8
6.00,8
6.00,8
2.00,8
-39.00,4
-57.00,7
-69.00,8
-70.00,8
-70.00,8
-70.00,8
-71.00,8
-71.00,8
-71.00,8
-76.00,8
-76.00,8
-76.00,8
-76.00,8
-77.00,8
-77.00,8
-77.00,8
-77.00,8
-77.00,8
-77.00,8
-77.00,8
-77.00,8
-81.00,8
-81.00,8
-81.00,8
-81.00,8
-81.00,8
-81.00,8
-81.00,8
-82.00,8
-82.00,8
-82.00,8
-85.00,8
-91.00,8
36.00,8
34.00,6
31.00,8
31.00,8
29.00,6
18.00,8
18.00,8
16.00,8
16.00,8
16.00,8
16.00,8
16.00,8
16.00,8
16.00,8
16.00,8
16.00,8
16.00,8
16.00,8
16.00,8
16.00,8
16.00,8
16.00,8
15.00,8
15.00,8
15.00,6
15.00,8
15.00,8
15.00,8
15.00,8
15.00,8
15.00,8
15.00,8
14.00,6
14.00,8
14.00,8
14.00,4
14.00,8
14.00,8
14.00,6
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
13.00,7
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,6
12.00,6
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
9.00,8
8.00,8
8.00,8
8.00,8
8.00,8
8.00,8
8.00,8
8.00,8
8.00,8
8.00,8
8.00,8
7.00,8
7.00,8
6.00,8
6.00,8
6.00,4
6.00,8
6.00,8
6.00,8
6.00,8
6.00,6
4.00,4
3.00,8
3.00,8
2.00,8
2.00,8
2.00,8
2.00,8
2.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
0.00,8
0.00,4
0.00,8
0.00,8
0.00,8
0.00,8
0.00,8
0.00,8
0.00,8
0.00,8
-1.00,8
-5.00,8
-5.00,8
-6.00,8
-6.00,8
-6.00,8
-6.00,8
-7.00,8
-20.00,8
-23.00,7
-25.00,8
-25.00,8
-25.00,8
-25.00,8
-25.00,8
-25.00,8
-25.00,8
-26.00,8
-26.00,8
-26.00,8
-26.00,8
-26.00,8
-26.00,8
-26.00,8
-26.00,8
-26.00,8
-43.00,5
-44.00,2
-44.00,8
-44.00,2
-45.00,9
-58.00,12
-58.00,8
79.00,8
78.00,8
77.00,8
67.00,8
67.00,8
67.00,8
58.00,8
57.00,8
57.00,8
57.00,8
45.00,8
45.00,8
45.00,8
45.00,8
45.00,8
45.00,8
45.00,8
44.00,8
44.00,8
44.00,8
44.00,8
44.00,8
44.00,8
44.00,8
44.00,8
44.00,8
44.00,8
44.00,8
44.00,8
44.00,8
14.00,8
13.00,8
35.00,8
35.00,8
32.00,8
31.00,6
29.00,8
27.00,8
27.00,8
26.00,6
23.00,6
23.00,8
23.00,8
23.00,8
23.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,6
14.00,8
14.00,8
13.00,8
13.00,4
13.00,8
13.00,8
13.00,6
13.00,6
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,6
13.00,6
13.00,8
13.00,8
13.00,8
13.00,8
13.00,8
13.00,7
12.00,8
12.00,8
12.00,8
12.00,8
12.00,8
12.00,8
12.00,8
12.00,8
12.00,8
12.00,8
9.00,4
6.00,8
6.00,8
6.00,8
6.00,8
6.00,8
5.00,8
5.00,8
5.00,8
5.00,8
5.00,4
5.00,8
5.00,8
5.00,8
5.00,8
5.00,8
5.00,8
5.00,8
5.00,8
5.00,8
4.00,8
4.00,8
4.00,8
4.00,4
4.00,8
4.00,8
4.00,8
4.00,6
4.00,8
4.00,8
4.00,8
4.00,8
4.00,8
2.00,8
2.00,8
2.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
1.00,8
0.00,8
0.00,8
0.00,8
0.00,8
-1.00,8
-4.00,4
-4.00,8
-4.00,8
-4.00,8
-4.00,8
-4.00,8
-5.00,8
-5.00,8
-10.00,8
-28.00,7
-31.00,8
-32.00,8
-35.00,3
-35.00,5
-36.00,2
-36.00,8
-37.00,2
-45.00,9
-45.00,1
-59.00,5
-59.00,8
-59.00,12
70.00,8
70.00,8
70.00,8
67.00,9
63.00,8
63.00,8
62.00,8
58.00,8
49.00,8
48.00,8
47.00,8
47.00,8
41.00,8
41.00,8
41.00,8
41.00,8
41.00,8
41.00,8
41.00,8
41.00,8
41.00,8
41.00,8
41.00,8
41.00,8
41.00,8
40.00,8
40.00,8
40.00,8
40.00,8
25.00,8
35.00,8
34.00,8
34.00,6
32.00,8
32.00,8
32.00,8
32.00,8
31.00,6
27.00,8
27.00,8
24.00,6
23.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
22.00,8
21.00,8
21.00,8
21.00,8
21.00,8
18.00,8
15.00,8
15.00,8
15.00,6
15.00,6
15.00,8
15.00,8
15.00,8
15.00,8
15.00,8
15.00,8
14.00,8
14.00,4
14.00,8
14.00,6
14.00,6
14.00,8
14.00,8
14.00,8
14.00,7
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
14.00,8
12.00,8
12.00,8
12.00,8
12.00,8
12.00,8
12.00,8
12.00,8
12.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
11.00,8
